Route,Departure Time
Palo Alto → Work,07:20:00
Palo Alto → Work,07:35:00
Palo Alto → Work,07:45:00
Palo Alto → Work,07:50:00
Palo Alto → Work,08:05:00
Palo Alto → Work,08:15:00
Palo Alto → Work,08:20:00
Palo Alto → Work,08:35:00
Palo Alto → Work,08:45:00
Palo Alto → Work,08:50:00
Palo Alto → Work,09:05:00
Palo Alto → Work,09:15:00
Palo Alto → Work,09:20:00
Palo Alto → Work,09:35:00
Palo Alto → Work,09:45:00
Palo Alto → Work,10:05:00
Palo Alto → Work,10:15:00
Palo Alto → Work,10:35:00
Palo Alto → Work,10:45:00
Palo Alto → Work,15:20:00
Palo Alto → Work,15:50:00
Palo Alto → Work,17:10:00
Palo Alto → Work,17:25:00
Palo Alto → Work,18:00:00
Palo Alto → Work,18:50:00
Palo Alto → Work,19:05:00
Work → Palo Alto,07:05:00
Work → Palo Alto,07:35:00
Work → Palo Alto,07:45:00
Work → Palo Alto,08:00:00
Work → Palo Alto,08:05:00
Work → Palo Alto,08:15:00
Work → Palo Alto,08:30:00
Work → Palo Alto,08:45:00
Work → Palo Alto,09:00:00
Work → Palo Alto,09:05:00
Work → Palo Alto,09:45:00
Work → Palo Alto,10:00:00
Work → Palo Alto,10:15:00
Work → Palo Alto,10:30:00
Work → Palo Alto,15:05:00
Work → Palo Alto,15:35:00
Work → Palo Alto,15:40:00
Work → Palo Alto,16:05:00
Work → Palo Alto,16:20:00
Work → Palo Alto,16:25:00
Work → Palo Alto,16:35:00
Work → Palo Alto,16:55:00
Work → Palo Alto,17:10:00
Work → Palo Alto,17:25:00
Work → Palo Alto,17:30:00
Work → Palo Alto,17:40:00
Work → Palo Alto,17:45:00
Work → Palo Alto,18:20:00
Work → Palo Alto,18:30:00
Work → Palo Alto,19:15:00
Work → Palo Alto,19:55:00
